ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Column1
3735,6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,1
3736,6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,1
3737,6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,1
3738,5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,1
3739,6.8,0.34,0.36,8.9,0.029,44,128,0.99318,3.28,0.35,11.95,1
3740,4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,1
3741,6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,1
3742,6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45,1
3743,6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,1
3744,6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,1
3745,6.2,0.41,0.22,1.9,0.023,5,56,0.98928,3.04,0.79,13,1
3746,5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8,1
3747,6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1,0
3748,7.3,0.34,0.3,9.4,0.057,34,178,0.99554,3.15,0.44,10.4,0
3749,6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,0
3750,8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10,0
3751,5.6,0.34,0.3,6.9,0.038,23,89,0.99266,3.25,0.49,11.1,0
3752,5.8,0.54,0,1.4,0.033,40,107,0.98918,3.26,0.35,12.4,0
3753,7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,0
3754,6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,0
3755,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,0
3756,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,0
3757,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,0
3758,6.9,0.29,0.41,7.8,0.046,52,171,0.99537,3.12,0.51,9.6,0
3759,6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,0
3760,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,0
3761,6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,0
3762,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,0
3763,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,0
3764,6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,0
3765,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,0
3766,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,0
3767,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,0
3768,5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,0
3769,6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,0
3770,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,0
3771,7.8,0.2,0.2,1.4,0.036,25,83,0.99088,3.03,0.46,11.7,0
3772,8,0.2,0.44,1,0.057,24,111,0.99158,3.09,0.32,11.2,0
3773,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,0
3774,7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,0
3775,6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,0
3776,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,0
3777,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,0
3778,7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,0
3779,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,0
3780,6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,0
3781,7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,0
3782,6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,0
3783,7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,0
3784,7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,0
3785,7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,0
3786,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,0
3787,6.6,0.32,0.41,7.2,0.048,55,178,0.99537,3.2,0.46,9.4,0
3788,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,0
3789,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,0
3790,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,0
3791,8.9,0.27,0.28,0.8,0.024,29,128,0.98984,3.01,0.35,12.4,0
3792,7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,0
3793,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,0
3794,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,0
3795,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,0
3796,7.2,0.23,0.46,6.4,0.036,17,85,0.99279,3.1,0.78,11.7,0
3797,6.6,0.22,0.3,14.7,0.045,50,136,0.99704,3.14,0.37,10.6,0
3798,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,0
3799,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,0
3800,7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,0
3801,6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,0
3802,7.2,0.27,0.31,1.2,0.031,27,80,0.98892,3.03,0.33,12.7,0
3803,7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,0
3804,8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,0
3805,6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,0
3806,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,0
3807,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,0
3808,7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,0
3809,6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,0
3810,7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,0
3811,6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,0
3812,6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,0
3813,7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,0
3814,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,0
3815,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,0
3816,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,0
3817,8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,0
3818,5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,0
3819,8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,0
3820,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,0
3821,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,0
3822,6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,0
3823,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,0
3824,7.6,0.37,0.34,3.2,0.028,42,162,0.9903,3.01,0.33,12.4,0
3825,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,0
3826,6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,0
3827,8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,0
3828,7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,0
3829,6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,0
3830,8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,0
3831,6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,0
3832,5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,0
3833,7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,0
3834,7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,0
3835,8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,0
3836,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,0
3837,6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,0
3838,7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1,0
3839,6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,0
3840,7.7,0.24,0.3,1.4,0.041,15,102,0.9929,3.26,0.53,10.4,0
3841,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,0
3842,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,0
3843,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,0
3844,6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,0
3845,6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,0
3846,6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,0
3847,6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,0
3848,6.6,0.26,0.24,7.2,0.038,28,137,0.9952,3.35,0.6,10.4,0
3849,7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,0
3850,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,0
3851,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,0
3852,6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,0
3853,7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,0
3854,7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,0
3855,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,0
3856,6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,0
3857,6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,0
3858,7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,0
3859,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,0
3860,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,0
3861,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,0
3862,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,0
3863,6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,0
3864,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,0
3865,6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,0
3866,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,0
3867,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,0
3868,6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5,0
3869,6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,0
3870,6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5,0
3871,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,0
3872,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,0
3873,6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8,0
3874,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,0
3875,5.8,0.58,0,1.5,0.02,33,96,0.98918,3.29,0.38,12.4,0
3876,6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,0
3877,6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,0
3878,6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,0
3879,6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,0
3880,6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,0
3881,5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,0
3882,7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,0
3883,7,0.29,0.37,1.6,0.035,34,126,0.99058,3.26,0.47,12.3,0
3884,6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,0
3885,6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,0
3886,6.6,0.085,0.33,1.4,0.036,17,109,0.99306,3.27,0.61,9.5,0
3887,6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,0
3888,6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,0
3889,6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,0
3890,6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,0
3891,6.5,0.26,0.31,1.3,0.034,59,145,0.98944,3.16,0.54,12.4,0
3892,6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,0
3893,6.2,0.21,0.18,11.6,0.044,61,155,0.99655,3.14,0.52,9.4,0
3894,6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,0
3895,5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,0
3896,6.9,0.58,0.58,8.2,0.032,29,169,0.99275,3.28,0.44,12.2,0
3897,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,0
3898,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,0
3899,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,0
3900,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,0
3901,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,0
3902,6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8,0
3903,7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,0
3904,7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,0
3905,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,0
3906,6.4,0.15,0.4,1.3,0.053,61,146,0.99112,3.17,0.68,11,0
3907,6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,0
3908,6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,0
3909,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,0
3910,7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,0
3911,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,0
3912,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,0
3913,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,0
3914,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,0
3915,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,0
3916,6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,0
3917,6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,0
3918,7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,0
3919,6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,0
3920,4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,0
3921,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,0
3922,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,0
3923,6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,0
3924,8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,0
3925,6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,0
3926,6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,0
3927,6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2,0
3928,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,0
3929,6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5,0
3930,7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8,0
3931,7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,0
3932,5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,0
3933,6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,0
3934,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,0
3935,6.2,0.22,0.2,20.8,0.035,58,184,1.00022,3.11,0.53,9,0
3936,7,0.34,0.26,10.3,0.041,51,166,0.99382,3.08,0.35,11.6,0
3937,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,0
3938,6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,0
3939,6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6,0
3940,6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,0
3941,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,0
3942,7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,0
3943,5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,0
3944,7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,0
3945,6.8,0.22,0.3,10.6,0.07,67,194,0.99654,2.89,0.42,9,0
3946,6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9,0
3947,6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,0
3948,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,0
3949,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,0
3950,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,0
3951,7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,0
3952,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,0
3953,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,0
3954,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,0
3955,7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,0
3956,7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,0
3957,7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,0
3958,6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,0
3959,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,0
3960,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,0
3961,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,0
3962,6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,0
3963,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,0
3964,7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12,0
3965,6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,0
3966,6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,0
3967,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,0
3968,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,0
3969,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,0
3970,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,0
3971,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,0
3972,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,0
3973,7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,0
3974,7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,0
3975,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,0
3976,6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,0
3977,7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,0
3978,6.4,0.34,0.44,8.2,0.043,54,201,0.99551,3.18,0.48,9.5,0
3979,6.6,0.27,0.52,8.1,0.044,53,202,0.99548,3.18,0.48,9.5,0
3980,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,0
3981,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,0
3982,6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,0
3983,6.8,0.25,0.3,11.8,0.043,53,133,0.99524,3.03,0.58,10.4,0
3984,6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,0
3985,5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,0
3986,6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,0
3987,6.6,0.13,0.29,13.9,0.056,33,95,0.99702,3.17,0.39,9.4,0
3988,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,0
3989,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,0
3990,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,0
3991,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,0
3992,8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,0
3993,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,0
3994,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,0
3995,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,0
3996,8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,0
3997,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,0
3998,6.8,0.21,0.62,6.4,0.041,7,113,0.99358,2.96,0.59,10.2,0
3999,6.9,0.21,0.62,6.3,0.042,7,109,0.99358,2.96,0.59,10.2,0
4000,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,0
4001,6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,0
4002,7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,0
4003,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,0
4004,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,0
4005,7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,0
4006,6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,0
4007,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,0
4008,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,0
4009,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,0
4010,6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,0
4011,6.9,0.28,0.28,12.2,0.042,52,139,0.99522,3.03,0.56,10.4,0
4012,7,0.33,0.28,5.7,0.033,39,204,0.99176,3.17,0.64,12.5,0
4013,6.7,0.26,0.49,8.1,0.052,48,197,0.99558,3.19,0.48,9.5,0
4014,6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,0
4015,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,0
4016,5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,0
4017,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,0
4018,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,0
4019,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,0
4020,7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,0
4021,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,0
4022,6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,0
4023,8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,0
4024,8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,0
4025,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,0
4026,6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,0
4027,6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,0
4028,6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,0
4029,7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,0
4030,6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,0
4031,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,0
4032,6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,0
4033,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,0
4034,7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,0
4035,8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,0
4036,6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,0
4037,5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,0
4038,5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,0
4039,5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,0
4040,5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,0
4041,5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,0
4042,6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,0
